variable;code;vintage
UE|Residential|Space cooling|Electricity;TES-ktoe-Res-HH-Thermal-SC-AC-Elec;
UE|Residential|Water heating;TES-ktoe-Res-HH-Thermal-WH;
UE|Residential|Water heating|Coal;TES-ktoe-Res-HH-Thermal-WH-Solids-Solids;
UE|Residential|Water heating|Liquids;TES-ktoe-Res-HH-Thermal-WH-LPG-LPG;
UE|Residential|Water heating|Liquids;TES-ktoe-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
UE|Residential|Water heating|Gases;TES-ktoe-Res-HH-Thermal-WH-Gas-NG_Biogas;
UE|Residential|Water heating|Biomass;TES-ktoe-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;TES-ktoe-Res-HH-Thermal-WH-Geo-Geo;
UE|Residential|Water heating|Heat;TES-ktoe-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
UE|Residential|Water heating|Electricity;TES-ktoe-Res-HH-Thermal-WH-Elc-Elec;
;TES-ktoe-Res-HH-Thermal-WH-TotalSolar-Solar;
UE|Residential|Cooking;TES-ktoe-Res-HH-Thermal-CO;
UE|Residential|Cooking|Coal;TES-ktoe-Res-HH-Thermal-CO-Solids-Solids;
UE|Residential|Cooking|Liquids;TES-ktoe-Res-HH-Thermal-CO-LPG-LPG;
UE|Residential|Cooking|Gases;TES-ktoe-Res-HH-Thermal-CO-Gas-NG_Biogas;
UE|Residential|Cooking|Biomass;TES-ktoe-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
UE|Residential|Cooking|Electricity;TES-ktoe-Res-HH-Thermal-CO-Elc-Elec;
;Eff-ratio-Res-HH-Thermal-SH-Solids-Solids;
;Eff-ratio-Res-HH-Thermal-SH-LPG-LPG;
;Eff-ratio-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
;Eff-ratio-Res-HH-Thermal-SH-Gas-NG_Biogas;
;Eff-ratio-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;Eff-ratio-Res-HH-Thermal-SH-Geo-Geo;
;Eff-ratio-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
;Eff-ratio-Res-HH-Thermal-SH-AdvElc-Elec;
;Eff-ratio-Res-HH-Thermal-SH-ConvElc-Elec;
;Eff-ratio-Res-HH-Thermal-SH-TotalCirculation-Elec;
;Eff-ratio-Res-HH-Thermal-SC-AC-Elec;
;Eff-ratio-Res-HH-Thermal-WH-Solids-Solids;
;Eff-ratio-Res-HH-Thermal-WH-LPG-LPG;
;Eff-ratio-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;Eff-ratio-Res-HH-Thermal-WH-Gas-NG_Biogas;
;Eff-ratio-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;Eff-ratio-Res-HH-Thermal-WH-Geo-Geo;
;Eff-ratio-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;Eff-ratio-Res-HH-Thermal-WH-Elc-Elec;
;Eff-ratio-Res-HH-Thermal-WH-TotalSolar-Solar;
;Eff-ratio-Res-HH-Thermal-CO-Solids-Solids;
;Eff-ratio-Res-HH-Thermal-CO-LPG-LPG;
;Eff-ratio-Res-HH-Thermal-CO-Gas-NG_Biogas;
;Eff-ratio-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;Eff-ratio-Res-HH-Thermal-CO-Elc-Elec;
Emi|CO2|Residential|Space heating|Coal;EMI-ktCO2-Res-HH-Thermal-SH-Solids-Solids;
Emi|CO2|Residential|Space heating|Liquids;EMI-ktCO2-Res-HH-Thermal-SH-LPG-LPG;
Emi|CO2|Residential|Space heating|Liquids;EMI-ktCO2-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
Emi|CO2|Residential|Space heating|Gases;EMI-ktCO2-Res-HH-Thermal-SH-Gas-NG_Biogas;
Emi|CO2|Residential|Space heating|Biomass;EMI-ktCO2-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;EMI-ktCO2-Res-HH-Thermal-SH-Geo-Geo;
Emi|CO2|Residential|Space heating|Heat;EMI-ktCO2-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
Emi|CO2|Residential|Space heating|Electricity|Heat pump;EMI-ktCO2-Res-HH-Thermal-SH-AdvElc-Elec;
Emi|CO2|Residential|Space heating|Electricity|Resistive electric;EMI-ktCO2-Res-HH-Thermal-SH-ConvElc-Elec;
;EMI-ktCO2-Res-HH-Thermal-SH-TotalCirculation-Elec;
Emi|CO2|Residential|Space cooling|Electricity;EMI-ktCO2-Res-HH-Thermal-SC-AC-Elec;
Emi|CO2|Residential|Water heating|Coal;EMI-ktCO2-Res-HH-Thermal-WH-Solids-Solids;
Emi|CO2|Residential|Water heating|Liquids;EMI-ktCO2-Res-HH-Thermal-WH-LPG-LPG;
Emi|CO2|Residential|Water heating|Liquids;EMI-ktCO2-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
Emi|CO2|Residential|Water heating|Gases;EMI-ktCO2-Res-HH-Thermal-WH-Gas-NG_Biogas;
Emi|CO2|Residential|Water heating|Biomass;EMI-ktCO2-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;EMI-ktCO2-Res-HH-Thermal-WH-Geo-Geo;
Emi|CO2|Residential|Water heating|Heat;EMI-ktCO2-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
Emi|CO2|Residential|Water heating|Electricity;EMI-ktCO2-Res-HH-Thermal-WH-Elc-Elec;
;EMI-ktCO2-Res-HH-Thermal-WH-TotalSolar-Solar;
Emi|CO2|Residential|Cooking|Coal;EMI-ktCO2-Res-HH-Thermal-CO-Solids-Solids;
Emi|CO2|Residential|Cooking|Liquids;EMI-ktCO2-Res-HH-Thermal-CO-LPG-LPG;
Emi|CO2|Residential|Cooking|Gases;EMI-ktCO2-Res-HH-Thermal-CO-Gas-NG_Biogas;
Emi|CO2|Residential|Cooking|Biomass;EMI-ktCO2-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
Emi|CO2|Residential|Cooking|Electricity;EMI-ktCO2-Res-HH-Thermal-CO-Elc-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-SH-Solids-Solids;
;FEC_per_household-kWh-Res-HH-Thermal-SH-LPG-LPG;
;FEC_per_household-kWh-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
;FEC_per_household-kWh-Res-HH-Thermal-SH-Gas-NG_Biogas;
;FEC_per_household-kWh-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;FEC_per_household-kWh-Res-HH-Thermal-SH-Geo-Geo;
;FEC_per_household-kWh-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
;FEC_per_household-kWh-Res-HH-Thermal-SH-AdvElc-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-SH-ConvElc-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-SH-TotalCirculation-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-SC-AC-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Solids-Solids;
;FEC_per_household-kWh-Res-HH-Thermal-WH-LPG-LPG;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Gas-NG_Biogas;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Geo-Geo;
;FEC_per_household-kWh-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;FEC_per_household-kWh-Res-HH-Thermal-WH-Elc-Elec;
;FEC_per_household-kWh-Res-HH-Thermal-WH-TotalSolar-Solar;
;FEC_per_household-kWh-Res-HH-Thermal-CO-Solids-Solids;
;FEC_per_household-kWh-Res-HH-Thermal-CO-LPG-LPG;
;FEC_per_household-kWh-Res-HH-Thermal-CO-Gas-NG_Biogas;
;FEC_per_household-kWh-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;FEC_per_household-kWh-Res-HH-Thermal-CO-Elc-Elec;
;TES_per_household-kWh-Res-HH-Thermal-SH-Solids-Solids;
;TES_per_household-kWh-Res-HH-Thermal-SH-LPG-LPG;
;TES_per_household-kWh-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
;TES_per_household-kWh-Res-HH-Thermal-SH-Gas-NG_Biogas;
;TES_per_household-kWh-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;TES_per_household-kWh-Res-HH-Thermal-SH-Geo-Geo;
;TES_per_household-kWh-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
;TES_per_household-kWh-Res-HH-Thermal-SH-AdvElc-Elec;
;TES_per_household-kWh-Res-HH-Thermal-SH-ConvElc-Elec;
;TES_per_household-kWh-Res-HH-Thermal-SH-TotalCirculation-Elec;
;TES_per_household-kWh-Res-HH-Thermal-SC-AC-Elec;
;TES_per_household-kWh-Res-HH-Thermal-WH-Solids-Solids;
;TES_per_household-kWh-Res-HH-Thermal-WH-LPG-LPG;
;TES_per_household-kWh-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;TES_per_household-kWh-Res-HH-Thermal-WH-Gas-NG_Biogas;
;TES_per_household-kWh-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;TES_per_household-kWh-Res-HH-Thermal-WH-Geo-Geo;
;TES_per_household-kWh-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;TES_per_household-kWh-Res-HH-Thermal-WH-Elc-Elec;
;TES_per_household-kWh-Res-HH-Thermal-WH-TotalSolar-Solar;
;TES_per_household-kWh-Res-HH-Thermal-CO-Solids-Solids;
;TES_per_household-kWh-Res-HH-Thermal-CO-LPG-LPG;
;TES_per_household-kWh-Res-HH-Thermal-CO-Gas-NG_Biogas;
;TES_per_household-kWh-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;TES_per_household-kWh-Res-HH-Thermal-CO-Elc-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-Solids-Solids;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-LPG-LPG;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-Gas-NG_Biogas;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-Geo-Geo;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-AdvElc-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-ConvElc-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH-TotalCirculation-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-SC-AC-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Solids-Solids;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-LPG-LPG;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Gas-NG_Biogas;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Geo-Geo;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-Elc-Elec;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH-TotalSolar-Solar;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO-Solids-Solids;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO-LPG-LPG;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO-Gas-NG_Biogas;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO-Elc-Elec;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH-Solids-Solids;
