variable;ITEM;ENDUSE;comment
;E_COAL;M_NONMETAL;
;E_DHEAT;M_NONMETAL;
;E_ELEC;M_NONMETAL;
;E_FINAL;M_NONMETAL;
;E_OIL;M_NONMETAL;
;E_OTHER;M_NONMETAL;
;E_WOOD;M_NONMETAL;
;EI_GDP;M_NONMETAL;
;E_GAS;M_NONMETAL ;
;C_COAL;M_NONSPEC;
;C_DHEAT;M_NONSPEC;
;C_FINAL;M_NONSPEC;
;C_GAS;M_NONSPEC;
;C_OIL;M_NONSPEC;
;C_WOOD;M_NONSPEC;
;E_COAL;M_NONSPEC;
;E_DHEAT;M_NONSPEC;
;E_ELEC;M_NONSPEC;
;E_GAS;M_NONSPEC;
;E_OIL;M_NONSPEC;
;E_OTHER;M_NONSPEC;
;E_WOOD;M_NONSPEC;
;C_ELEC;M_NONSPEC ;
;E_FINAL;M_NONSPEC ;
;ACT_GDP_P;M_OTHERS;
;C_COAL;M_OTHERS;
;C_DHEAT;M_OTHERS;
;C_ELEC;M_OTHERS;
;C_FINAL;M_OTHERS;
;C_GAS;M_OTHERS;
;C_OIL;M_OTHERS;
;C_WOOD;M_OTHERS;
;CI_GDP;M_OTHERS;
;E_DHEAT;M_OTHERS;
;E_ELEC;M_OTHERS;
;E_FINAL;M_OTHERS;
;E_GAS;M_OTHERS;
;E_OIL;M_OTHERS;
;E_OTHER;M_OTHERS;
;E_WOOD;M_OTHERS;
;EI_GDP;M_OTHERS;
;E_COAL;M_OTHERS ;
;ACT_GDP_P;M_PAPPRINT;
;C_COAL;M_PAPPRINT;
;C_DHEAT;M_PAPPRINT;
;C_ELEC;M_PAPPRINT;
;C_FINAL;M_PAPPRINT;
;C_GAS;M_PAPPRINT;
;C_OIL;M_PAPPRINT;
;C_WOOD;M_PAPPRINT;
;CI_GDP;M_PAPPRINT;
;E_COAL;M_PAPPRINT;
;E_DHEAT;M_PAPPRINT;
;E_ELEC;M_PAPPRINT;
;E_FINAL;M_PAPPRINT;
;E_GAS;M_PAPPRINT;
;E_OIL;M_PAPPRINT;
;E_OTHER;M_PAPPRINT;
;E_WOOD;M_PAPPRINT;
;EI_GDP;M_PAPPRINT;
;C_COAL;M_REFINING;
;C_DHEAT;M_REFINING;
;C_ELEC;M_REFINING;
;C_FINAL;M_REFINING;
;C_GAS;M_REFINING;
;C_OIL;M_REFINING;
;CI_GDP;M_REFINING;
;E_COAL;M_REFINING;
;E_DHEAT;M_REFINING;
;E_ELEC;M_REFINING;
;E_FINAL;M_REFINING;
;E_GAS;M_REFINING;
;E_OIL;M_REFINING;
;E_OTHER;M_REFINING;
;E_WOOD;M_REFINING;
;EI_GDP;M_REFINING;
;ACT_GDP_P;M_REFINING ;
;C_WOOD;M_REFINING ;
;ACT_GDP_P;M_RUBPLAST;
;C_COAL;M_RUBPLAST;
;C_DHEAT;M_RUBPLAST;
;C_ELEC;M_RUBPLAST;
;C_FINAL;M_RUBPLAST;
;C_GAS;M_RUBPLAST;
;C_OIL;M_RUBPLAST;
;C_WOOD;M_RUBPLAST;
;CI_GDP;M_RUBPLAST;
;E_COAL;M_RUBPLAST;
;E_DHEAT;M_RUBPLAST;
;E_ELEC;M_RUBPLAST;
;E_FINAL;M_RUBPLAST;
;E_GAS;M_RUBPLAST;
;E_OIL;M_RUBPLAST;
;E_OTHER;M_RUBPLAST;
;E_WOOD;M_RUBPLAST;
;EI_GDP;M_RUBPLAST;
;ACT_GDP_P;M_TEXTILE;
;C_COAL;M_TEXTILE;
;C_DHEAT;M_TEXTILE;
;C_ELEC;M_TEXTILE;
;C_FINAL;M_TEXTILE;
;C_GAS;M_TEXTILE;
;C_OIL;M_TEXTILE;
;C_WOOD;M_TEXTILE;
;CI_GDP;M_TEXTILE;
;E_COAL;M_TEXTILE;
;E_DHEAT;M_TEXTILE;
;E_ELEC;M_TEXTILE;
;E_FINAL;M_TEXTILE;
;E_GAS;M_TEXTILE;
;E_OIL;M_TEXTILE;
;E_OTHER;M_TEXTILE;
;E_WOOD;M_TEXTILE;
;EI_GDP;M_TEXTILE;
;ACT_GDP_P;M_TOTAL;
;C_COAL;M_TOTAL;
;C_DHEAT;M_TOTAL;
;C_ELEC;M_TOTAL;
;C_FINAL;M_TOTAL;
;C_GAS;M_TOTAL;
;C_OIL;M_TOTAL;
;C_WOOD;M_TOTAL;
;CI_GDP;M_TOTAL;
;E_COAL;M_TOTAL;
;E_DHEAT;M_TOTAL;
;E_ELEC;M_TOTAL;
;E_FINAL;M_TOTAL;
;E_GAS;M_TOTAL;
;E_OIL;M_TOTAL;
;E_OTHER;M_TOTAL;
;E_WOOD;M_TOTAL;
;EI_GDP;M_TOTAL;
;ACT_GDP_P;M_WOOD;
;C_COAL;M_WOOD;
;C_DHEAT;M_WOOD;
;C_ELEC;M_WOOD;
;C_FINAL;M_WOOD;
;C_GAS;M_WOOD;
;C_OIL;M_WOOD;
;C_WOOD;M_WOOD;
;CI_GDP;M_WOOD;
;E_COAL;M_WOOD;
;E_DHEAT;M_WOOD;
;E_ELEC;M_WOOD;
;E_FINAL;M_WOOD;
;E_GAS;M_WOOD;
;E_OIL;M_WOOD;
;E_OTHER;M_WOOD;
;E_WOOD;M_WOOD;
;EI_GDP;M_WOOD ;
;ACT_GDP_P;O_AGROFISH;
;C_COAL;O_AGROFISH;
;C_DHEAT;O_AGROFISH;
;C_ELEC;O_AGROFISH;
;C_FINAL;O_AGROFISH;
;C_GAS;O_AGROFISH;
;C_OIL;O_AGROFISH;
;C_WOOD;O_AGROFISH;
;CI_GDP;O_AGROFISH;
;E_COAL;O_AGROFISH;
;E_DHEAT;O_AGROFISH;
;E_ELEC;O_AGROFISH;
;E_FINAL;O_AGROFISH;
;E_GAS;O_AGROFISH;
;E_OIL;O_AGROFISH;
;E_OTHER;O_AGROFISH;
;E_WOOD;O_AGROFISH;
;EI_GDP;O_AGROFISH;
;ACT_GDP_P;O_CONSTR;
;C_COAL;O_CONSTR;
;C_DHEAT;O_CONSTR;
;C_ELEC;O_CONSTR;
;C_FINAL;O_CONSTR;
;C_GAS;O_CONSTR;
;C_OIL;O_CONSTR;
;C_WOOD;O_CONSTR;
;CI_GDP;O_CONSTR;
;E_COAL;O_CONSTR;
;E_DHEAT;O_CONSTR;
;E_ELEC;O_CONSTR;
;E_FINAL;O_CONSTR;
;E_GAS;O_CONSTR;
;E_OIL;O_CONSTR;
;E_OTHER;O_CONSTR;
;E_WOOD;O_CONSTR;
;EI_GDP;O_CONSTR;
;ACT_GDP_P;O_MINING;
;C_COAL;O_MINING;
;C_DHEAT;O_MINING;
;C_ELEC;O_MINING;
;C_FINAL;O_MINING;
;C_OIL;O_MINING;
;C_WOOD;O_MINING;
;CI_GDP;O_MINING;
;E_COAL;O_MINING;
;E_DHEAT;O_MINING;
;E_ELEC;O_MINING;
;E_FINAL;O_MINING;
;E_GAS;O_MINING;
;E_OIL;O_MINING;
;E_OTHER;O_MINING;
;E_WOOD;O_MINING;
;EI_GDP;O_MINING;
;C_GAS;O_MINING ;
;ACT_PKM;P_AIR;
;C_FINAL;P_AIR;
;C_JETF;P_AIR;
;CI_PC;P_AIR;
;CI_PKM;P_AIR;
;E_FINAL;P_AIR;
;E_JETF;P_AIR;
;E_OTHER;P_AIR;
;EI_LOAD_P;P_AIR;
;EI_PC;P_AIR;
;EI_PKM;P_AIR;
;EI_PKM_PC;P_AIR;
;EI_VUSE;P_AIR;
;ACT_PKM;P_BUS;
;ACT_VKM;P_BUS;
;ACT_VST;P_BUS;
;C_DIESEL;P_BUS;
;C_ELEC;P_BUS;
;C_FINAL;P_BUS;
;C_GAS;P_BUS;
;C_GASOL;P_BUS;
;C_LPG;P_BUS;
;C_OTHER;P_BUS;
;CI_PC;P_BUS;
;CI_PKM;P_BUS;
;CI_VKM;P_BUS;
;E_DIESEL;P_BUS;
;E_ELEC;P_BUS;
;E_FINAL;P_BUS;
;E_GAS;P_BUS;
;E_GASOL;P_BUS;
;E_LPG;P_BUS;
;E_OTHER;P_BUS;
;EI_FUEL_INT;P_BUS;
;EI_LOAD_P;P_BUS;
;EI_PC;P_BUS;
;EI_PKM;P_BUS;
;EI_PKM_PC;P_BUS;
;EI_VKM;P_BUS;
;EI_VKM_PC;P_BUS;
;EI_VUSE;P_BUS;
;ACT_PKM;P_CARS;
;ACT_VKM;P_CARS;
;ACT_VST;P_CARS;
;C_DIESEL;P_CARS;
;C_ELEC;P_CARS;
;C_FINAL;P_CARS;
;C_GAS;P_CARS;
;C_GASOL;P_CARS;
;C_LPG;P_CARS;
;C_OTHER;P_CARS;
;CI_PC;P_CARS;
;CI_PKM;P_CARS;
;E_DIESEL;P_CARS;
;E_ELEC;P_CARS;
;E_FINAL;P_CARS;
;E_GAS;P_CARS;
;E_GASOL;P_CARS;
;E_LPG;P_CARS;
;E_OTHER;P_CARS;
;EI_FUEL_INT;P_CARS;
;EI_LOAD_P;P_CARS;
;EI_PC;P_CARS;
;EI_PKM;P_CARS;
;EI_PKM_PC;P_CARS;
